code_module,gender,region,highest_education,age_band,num_of_prev_attempts,studied_credits,disability,final_result
CCC,F,East Midlands Region,Lower Than A Level,35-55,0,90,Y,Withdrawn
BBB,F,South Region,Lower Than A Level,35-55,0,60,N,Fail
DDD,M,North Region,A Level or Equivalent,0-35,1,120,N,Fail
CCC,M,North Western Region,HE Qualification,0-35,0,90,N,Pass
EEE,M,South West Region,A Level or Equivalent,0-35,0,60,N,Pass
GGG,F,West Midlands Region,Lower Than A Level,35-55,0,30,N,Pass
FFF,F,South West Region,A Level or Equivalent,35-55,0,60,N,Pass
CCC,F,South East Region,Lower Than A Level,0-35,0,120,N,Withdrawn
CCC,M,Scotland,A Level or Equivalent,35-55,0,60,N,Pass
GGG,F,South Region,A Level or Equivalent,35-55,0,30,N,Pass
GGG,M,South Region,Lower Than A Level,0-35,0,30,N,Fail
DDD,M,South Region,A Level or Equivalent,0-35,0,60,N,Pass
EEE,M,East Midlands Region,A Level or Equivalent,0-35,0,60,N,Pass
FFF,M,Wales,A Level or Equivalent,0-35,0,60,N,Pass
DDD,M,Wales,A Level or Equivalent,0-35,1,135,N,Withdrawn
EEE,M,East Anglian Region,HE Qualification,35-55,0,30,N,Pass
BBB,F,Scotland,HE Qualification,35-55,0,60,N,Pass
CCC,M,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
BBB,F,Ireland,Lower Than A Level,0-35,0,120,N,Pass
FFF,M,South West Region,Lower Than A Level,0-35,0,60,N,Pass
EEE,M,Ireland,A Level or Equivalent,0-35,0,60,N,Withdrawn
BBB,F,Yorkshire Region,Lower Than A Level,0-35,1,60,N,Withdrawn
FFF,F,East Anglian Region,HE Qualification,35-55,0,60,N,Withdrawn
CCC,M,London Region,A Level or Equivalent,0-35,0,180,N,Withdrawn
CCC,M,South East Region,A Level or Equivalent,0-35,0,30,N,Withdrawn
EEE,M,East Midlands Region,Lower Than A Level,0-35,0,150,N,Pass
BBB,F,North Western Region,HE Qualification,0-35,0,60,N,Pass
BBB,F,East Midlands Region,Lower Than A Level,0-35,0,90,N,Pass
DDD,M,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Fail
CCC,M,London Region,Lower Than A Level,0-35,1,60,N,Fail
FFF,M,East Anglian Region,Lower Than A Level,0-35,0,60,N,Fail
GGG,F,Yorkshire Region,Lower Than A Level,0-35,0,30,N,Pass
EEE,M,North Western Region,Lower Than A Level,35-55,0,90,Y,Withdrawn
EEE,M,Scotland,Post Graduate Qualification,35-55,0,60,N,Fail
BBB,F,Wales,Lower Than A Level,0-35,0,60,N,Pass
AAA,F,Wales,A Level or Equivalent,0-35,0,60,N,Fail
DDD,F,North Region,Lower Than A Level,0-35,0,120,N,Withdrawn
GGG,F,South Region,Lower Than A Level,0-35,0,30,N,Pass
FFF,M,North Region,Lower Than A Level,0-35,0,60,N,Fail
FFF,M,Scotland,Lower Than A Level,0-35,2,60,N,Pass
DDD,F,Scotland,HE Qualification,0-35,0,120,N,Withdrawn
FFF,M,Scotland,Lower Than A Level,0-35,0,60,N,Withdrawn
DDD,M,London Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
EEE,M,Wales,Lower Than A Level,0-35,0,30,N,Fail
FFF,M,London Region,Lower Than A Level,0-35,0,60,N,Withdrawn
FFF,M,South Region,A Level or Equivalent,0-35,0,60,N,Pass
GGG,M,North Western Region,Lower Than A Level,0-35,0,30,Y,Pass
BBB,F,West Midlands Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
CCC,M,Wales,Lower Than A Level,0-35,1,60,Y,Withdrawn
DDD,F,South Region,A Level or Equivalent,35-55,0,60,N,Pass
FFF,M,South Region,Lower Than A Level,0-35,0,60,N,Withdrawn
FFF,M,South East Region,A Level or Equivalent,0-35,0,60,Y,Pass
FFF,M,Ireland,HE Qualification,35-55,0,60,N,Fail
FFF,M,London Region,A Level or Equivalent,0-35,0,120,N,Withdrawn
FFF,M,Ireland,A Level or Equivalent,0-35,0,60,N,Fail
FFF,M,North Western Region,Lower Than A Level,0-35,0,60,N,Pass
DDD,F,North Region,A Level or Equivalent,0-35,0,120,N,Pass
DDD,M,West Midlands Region,A Level or Equivalent,0-35,0,120,N,Withdrawn
FFF,M,Yorkshire Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
FFF,M,West Midlands Region,A Level or Equivalent,0-35,0,120,N,Withdrawn
FFF,M,South East Region,Lower Than A Level,0-35,0,60,Y,Fail
FFF,M,London Region,A Level or Equivalent,35-55,0,120,N,Pass
FFF,F,North Western Region,Lower Than A Level,0-35,0,120,N,Withdrawn
FFF,M,Scotland,Lower Than A Level,0-35,2,120,N,Fail
DDD,M,Yorkshire Region,Lower Than A Level,0-35,0,150,N,Pass
BBB,F,West Midlands Region,Lower Than A Level,0-35,0,60,N,Withdrawn
DDD,M,North Western Region,Lower Than A Level,0-35,0,150,N,Pass
BBB,F,East Anglian Region,A Level or Equivalent,35-55,0,60,N,Pass
FFF,M,East Midlands Region,Lower Than A Level,0-35,1,60,N,Fail
BBB,F,South West Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
GGG,F,Scotland,Lower Than A Level,0-35,0,30,N,Pass
BBB,F,South East Region,Lower Than A Level,35-55,0,60,N,Pass
FFF,M,South West Region,A Level or Equivalent,0-35,0,60,N,Pass
CCC,M,South Region,A Level or Equivalent,0-35,0,120,N,Withdrawn
BBB,F,East Midlands Region,Lower Than A Level,0-35,0,60,N,Withdrawn
EEE,F,East Anglian Region,A Level or Equivalent,35-55,0,240,Y,Pass
CCC,F,West Midlands Region,A Level or Equivalent,0-35,0,150,Y,Withdrawn
DDD,M,Yorkshire Region,Lower Than A Level,0-35,0,60,N,Withdrawn
FFF,M,South Region,A Level or Equivalent,35-55,0,60,N,Pass
FFF,M,South West Region,Lower Than A Level,0-35,0,60,N,Pass
GGG,F,South East Region,A Level or Equivalent,35-55,0,30,N,Pass
BBB,F,Wales,HE Qualification,35-55,0,60,N,Withdrawn
FFF,M,North Region,A Level or Equivalent,0-35,0,90,N,Pass
DDD,M,East Midlands Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
BBB,F,South East Region,A Level or Equivalent,0-35,0,60,N,Pass
FFF,M,South Region,Lower Than A Level,0-35,0,60,N,Pass
BBB,F,South Region,Lower Than A Level,0-35,0,120,Y,Pass
BBB,F,East Midlands Region,A Level or Equivalent,0-35,0,120,N,Withdrawn
BBB,F,London Region,No Formal quals,0-35,0,60,N,Withdrawn
DDD,M,West Midlands Region,A Level or Equivalent,35-55,0,60,N,Pass
BBB,M,South East Region,Lower Than A Level,35-55,0,60,N,Fail
FFF,M,South West Region,Lower Than A Level,0-35,0,120,N,Fail
CCC,M,North Region,Lower Than A Level,0-35,1,90,N,Fail
BBB,F,East Midlands Region,Lower Than A Level,35-55,0,60,N,Withdrawn
DDD,F,Scotland,HE Qualification,0-35,0,240,Y,Pass
FFF,M,Wales,HE Qualification,0-35,1,180,N,Fail
BBB,F,North Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
FFF,F,Yorkshire Region,Lower Than A Level,0-35,0,90,N,Withdrawn
BBB,F,West Midlands Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
EEE,M,North Western Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
DDD,M,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Pass
CCC,F,East Midlands Region,A Level or Equivalent,0-35,0,120,N,Withdrawn
BBB,F,East Anglian Region,HE Qualification,0-35,0,120,N,Withdrawn
BBB,F,West Midlands Region,A Level or Equivalent,35-55,0,120,N,Pass
BBB,F,South West Region,Lower Than A Level,0-35,0,60,Y,Withdrawn
DDD,M,Wales,A Level or Equivalent,0-35,1,60,N,Pass
CCC,M,South West Region,No Formal quals,0-35,1,60,N,Withdrawn
BBB,F,South Region,A Level or Equivalent,0-35,0,120,N,Pass
GGG,F,London Region,Lower Than A Level,35-55,1,60,N,Fail
GGG,F,South East Region,Lower Than A Level,0-35,0,30,N,Pass
DDD,F,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Fail
DDD,M,South East Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
DDD,F,Scotland,A Level or Equivalent,0-35,0,75,Y,Fail
DDD,M,Scotland,HE Qualification,55<=,0,130,N,Pass
FFF,F,Scotland,Lower Than A Level,0-35,0,60,N,Withdrawn
BBB,F,Yorkshire Region,Lower Than A Level,35-55,0,60,N,Withdrawn
DDD,M,London Region,Lower Than A Level,0-35,0,120,N,Fail
BBB,F,East Midlands Region,A Level or Equivalent,35-55,1,60,N,Pass
BBB,F,London Region,HE Qualification,35-55,0,120,N,Pass
FFF,M,Ireland,Lower Than A Level,0-35,0,60,N,Fail
DDD,F,East Anglian Region,HE Qualification,0-35,0,60,N,Withdrawn
FFF,M,North Western Region,A Level or Equivalent,0-35,0,120,N,Fail
DDD,M,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
BBB,F,London Region,A Level or Equivalent,0-35,1,60,N,Withdrawn
FFF,M,Wales,HE Qualification,35-55,0,60,N,Pass
FFF,F,East Anglian Region,A Level or Equivalent,35-55,0,120,N,Pass
CCC,F,West Midlands Region,A Level or Equivalent,0-35,0,180,N,Withdrawn
DDD,F,East Midlands Region,A Level or Equivalent,0-35,0,60,N,Fail
CCC,F,London Region,Lower Than A Level,0-35,0,120,Y,Withdrawn
DDD,M,South Region,Lower Than A Level,0-35,0,120,N,Pass
FFF,M,East Anglian Region,Lower Than A Level,0-35,0,60,N,Withdrawn
FFF,M,East Midlands Region,A Level or Equivalent,0-35,0,60,N,Pass
DDD,M,East Midlands Region,Lower Than A Level,35-55,0,60,N,Withdrawn
FFF,M,London Region,A Level or Equivalent,0-35,1,120,N,Pass
FFF,M,Scotland,A Level or Equivalent,0-35,0,120,N,Withdrawn
CCC,M,London Region,HE Qualification,0-35,0,60,N,Fail
BBB,F,Scotland,Lower Than A Level,35-55,0,60,N,Fail
DDD,M,North Region,Lower Than A Level,0-35,0,60,N,Pass
GGG,F,Scotland,A Level or Equivalent,0-35,0,30,N,Pass
GGG,M,North Western Region,A Level or Equivalent,0-35,0,30,N,Pass
DDD,F,East Anglian Region,Lower Than A Level,0-35,0,60,N,Fail
CCC,M,West Midlands Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
CCC,F,West Midlands Region,A Level or Equivalent,0-35,0,120,N,Pass
FFF,M,Scotland,HE Qualification,0-35,1,60,N,Pass
FFF,M,Scotland,HE Qualification,35-55,0,60,N,Withdrawn
GGG,F,East Anglian Region,Lower Than A Level,0-35,0,30,N,Withdrawn
FFF,M,Scotland,HE Qualification,0-35,0,90,N,Fail
EEE,M,Scotland,Lower Than A Level,0-35,0,120,N,Pass
BBB,M,South West Region,Lower Than A Level,35-55,0,60,Y,Fail
FFF,M,South East Region,Lower Than A Level,0-35,0,150,N,Pass
BBB,F,Yorkshire Region,A Level or Equivalent,0-35,0,180,N,Fail
EEE,M,West Midlands Region,A Level or Equivalent,0-35,0,60,N,Fail
FFF,M,South West Region,Lower Than A Level,0-35,0,60,N,Withdrawn
FFF,M,North Western Region,A Level or Equivalent,0-35,0,60,N,Pass
DDD,M,East Anglian Region,Lower Than A Level,35-55,0,60,N,Pass
CCC,M,Scotland,HE Qualification,55<=,0,30,N,Pass
FFF,M,West Midlands Region,A Level or Equivalent,0-35,0,120,N,Withdrawn
GGG,F,North Region,Lower Than A Level,35-55,0,30,N,Pass
DDD,M,Scotland,HE Qualification,35-55,0,100,N,Pass
CCC,F,West Midlands Region,A Level or Equivalent,0-35,0,30,N,Pass
DDD,F,North Western Region,A Level or Equivalent,0-35,0,120,N,Withdrawn
FFF,M,West Midlands Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
BBB,F,Wales,Lower Than A Level,0-35,0,60,N,Pass
BBB,F,Yorkshire Region,Lower Than A Level,0-35,1,120,N,Withdrawn
FFF,F,East Anglian Region,A Level or Equivalent,0-35,1,120,N,Fail
BBB,F,Wales,A Level or Equivalent,0-35,0,60,N,Pass
GGG,F,East Midlands Region,A Level or Equivalent,0-35,0,90,Y,Fail
EEE,M,North Region,Lower Than A Level,0-35,1,120,N,Withdrawn
EEE,M,South East Region,Lower Than A Level,0-35,0,60,N,Pass
DDD,F,North Western Region,HE Qualification,0-35,0,60,N,Withdrawn
GGG,F,South West Region,Lower Than A Level,35-55,0,30,N,Pass
